JAHR_STA	KANTON	B003_GESCHLECHT_KBEZ	age_group	JAHRESFRANCHISE_E	JAHRESFRANCHISE_K	ANZAHL_VERS_MONATE	ANZAHL_VERS
2020	AG	m	36-45	2000	0	1247.1078337236495	107.93922705110162
2020	AG	m	36-45	2500	600	7036.458536753356	636.9397079795599
2020	AG	m	46-55	300	0	4868.253786654547	438.6162496074103
2020	AG	m	46-55	500	0	1808.0157790014894	154.3300401084125
2020	AG	m	46-55	1000	0	1191.9249101150035	105.47982262587175
2020	AG	m	46-55	1500	400	1855.9292906820774	162.456093902234
2020	AG	m	46-55	2000	0	1327.6049341623484	119.04235410830006
2020	AG	m	46-55	2500	600	5790.56908725366	525.6967709544115
2020	AG	m	46-55	300	0	6293.277000071033	544.8989328369498
2020	AG	m	46-55	500	0	1974.1134842745214	172.83802429074422
2020	AG	m	46-55	1000	0	1302.5962053462863	106.46669623954222
2020	AG	m	46-55	1500	400	2500.5175004485995	212.6474545225501
2020	AG	m	46-55	2000	0	1444.239311048761	119.56610617320985
2020	AG	m	46-55	2500	600	5044.49893642269	451.56540312059224
2020	AG	m	56-65	300	0	6712.204804999828	582.3691888041794
2020	AG	m	56-65	500	0	2112.274260684848	184.41131281061098
2020	AG	m	56-65	1000	0	1126.2453831564635	97.05840834742412
2020	AG	m	56-65	1500	400	1883.355127523914	160.33976910402998
2020	AG	m	56-65	2000	0	1205.7455376686155	98.03240954782814
2020	AG	m	56-65	2500	600	3611.9528099121153	315.67911287397146
2020	AG	m	56-65	300	0	6445.965208979174	547.1497036502697
2020	AG	m	56-65	500	0	1948.6945696916432	171.55582018569112
2020	AG	m	56-65	1000	0	771.3202118289471	70.60554156033322
2020	AG	m	56-65	1500	400	1216.2200392540544	105.35719674127176
2020	AG	m	56-65	2000	0	832.4030918268114	69.72222279710695
2020	AG	m	56-65	2500	600	2230.7469589652865	202.88527030171826
2020	AG	m	66-75	300	0	6093.120867305622	519.9651847793721
2020	AG	m	66-75	500	0	1865.5892550421506	163.10877969488502
2020	AG	m	66-75	1000	0	735.6755160056055	61.5495658502914
2020	AG	m	66-75	1500	400	932.3467477376759	80.70145031996071
2020	AG	m	66-75	2000	0	308.23907993733883	NA
2020	AG	m	66-75	2500	600	1141.0885038729757	99.00081829959527
2020	AG	m	66-75	300	0	5951.537005694434	513.5064733610488
2020	AG	m	66-75	500	0	1533.4590226789564	129.5028477148153
2020	AG	m	66-75	1000	0	378.57619734629986	NA
2020	AG	m	66-75	1500	400	583.1505418010056	46.13803519774228
2020	AG	m	66-75	2000	0	213.4425240084529	NA
2020	AG	m	66-75	2500	600	610.2802047149092	55.22676691180095
2020	AG	m	76-	300	0	5160.583963021636	442.82716591935605
2020	AG	m	76-	500	0	893.3166780514271	78.92923610517755
2020	AG	m	76-	1000	0	274.7276342883706	NA
2020	AG	m	76-	1500	400	256.4410397615284	NA
2020	AG	m	76-	2000	0	79.36252536810935	NA
2020	AG	m	76-	2500	600	300.1457566539198	NA
2020	AG	m	76-	300	0	4934.55848948516	439.57575135398656
2020	AG	m	76-	500	0	753.3501884701848	60.21261176979169
2020	AG	m	76-	1000	0	150.50648310266436	NA
2020	AG	m	76-	1500	400	197.40487648412585	NA
2020	AG	m	76-	2000	0	40.683051612228155	NA
2020	AG	m	76-	2500	600	205.74079478316008	NA
2020	AG	m	76-	300	0	645.8969164831191	62.75083880871534
2020	AG	m	76-	500	0	186.0857984818518	NA
2020	AG	m	76-	1000	0	-11.575808744877577	NA
2020	AG	m	76-	1500	400	-5.454289874061942	NA
2020	AG	m	76-	2500	600	-4.003265328705311	NA
2020	AG	w	0-18	0	200	736.4833117814362	64.82315605506301
2020	AG	w	0-18	300	0	34317.02476696618	3102.9333025999367
2020	AG	w	0-18	1500	400	243.78900289297104	NA
2020	AG	w	0-18	2500	600	540.5604986594617	51.960184598807245
2020	AG	w	19-25	300	0	7030.012383664176	665.7235222561285
2020	AG	w	19-25	500	0	736.7769727148116	68.28756189579144
2020	AG	w	19-25	1000	0	515.0408273395151	50.481919799000025
2020	AG	w	19-25	1500	400	708.518531396985	62.180624360218644
2020	AG	w	19-25	2000	0	324.8630424838513	NA
2020	AG	w	19-25	2500	600	3582.2555198764057	349.1549675348215
